Age,Balance,CreditScore,IsActiveMember,EstimatedSalary,NumOfProducts,Tenure,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
0.4285714285714286,0.0,0.5441527446300716,0.0,0.7047167504496679,0.3333333333333333,0.1,0.0,0.0,1.0,1.0,0.0
0.5,0.08215089496506509,0.7517899761336515,0.0,0.28450467019600373,0.3333333333333333,0.4,0.0,1.0,0.0,0.0,1.0
0.3214285714285714,0.0747048932890229,0.8066825775656323,1.0,0.24915124394379662,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.2142857142857143,0.0,0.5536992840095465,1.0,0.508511612859028,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,1.0
0.2321428571428571,0.0,0.37231503579952263,0.0,0.7625139200793675,0.3333333333333333,0.4,1.0,0.0,0.0,0.0,1.0
0.3571428571428571,0.07553361611367995,0.5489260143198089,1.0,0.1810652917353607,0.3333333333333333,0.30000000000000004,0.0,1.0,0.0,1.0,0.0
0.375,0.07658693814886143,0.4009546539379474,0.0,0.5212596802994686,0.0,0.7000000000000001,0.0,0.0,1.0,0.0,1.0
0.3214285714285714,0.07416981340269257,0.6945107398568018,1.0,0.7956822376536958,0.0,0.30000000000000004,0.0,1.0,0.0,1.0,0.0
0.5,0.0,0.6252983293556085,1.0,0.519563718335101,0.3333333333333333,0.30000000000000004,0.0,0.0,1.0,0.0,1.0
0.14285714285714285,0.09003880771338615,0.5894988066825775,0.0,0.9174942206980766,0.3333333333333333,0.4,0.0,1.0,0.0,0.0,1.0
0.25,0.0,0.4200477326968972,1.0,0.5027750150139337,0.0,0.9,1.0,0.0,0.0,0.0,1.0
0.3571428571428571,0.05337403707800653,0.5847255369928399,0.0,0.5848474029269795,0.0,0.5,1.0,0.0,0.0,0.0,1.0
0.7857142857142856,0.0,0.7040572792362767,1.0,0.7111297128875808,0.3333333333333333,0.6000000000000001,1.0,0.0,0.0,1.0,0.0
0.2321428571428571,0.08280143190760737,0.4200477326968972,0.0,0.8903637797409651,0.0,0.4,1.0,0.0,0.0,1.0,0.0
0.3035714285714286,0.0,0.6085918854415273,0.0,0.20979728564077868,0.3333333333333333,0.2,0.0,0.0,1.0,0.0,1.0
0.4821428571428571,0.09341454897451935,0.6706443914081144,0.0,0.045371432971848806,0.0,0.4,0.0,1.0,0.0,0.0,1.0
